@RELATION dont_care

@ATTRIBUTE weekend INTEGER
@ATTRIBUTE earn INTEGER
@ATTRIBUTE party INTEGER
@ATTRIBUTE 2x INTEGER
@ATTRIBUTE everything INTEGER
@ATTRIBUTE worshipers INTEGER
@ATTRIBUTE favor INTEGER
@ATTRIBUTE get INTEGER
@ATTRIBUTE 3 INTEGER
@ATTRIBUTE experience INTEGER
@ATTRIBUTE time INTEGER
@ATTRIBUTE day INTEGER
@ATTRIBUTE first INTEGER
@ATTRIBUTE double INTEGER
@ATTRIBUTE 3x INTEGER
@ATTRIBUTE roll INTEGER
@ATTRIBUTE chest INTEGER
@ATTRIBUTE bonus INTEGER
@ATTRIBUTE complete INTEGER
@ATTRIBUTE gems INTEGER
@ATTRIBUTE today INTEGER
@ATTRIBUTE still INTEGER
@ATTRIBUTE free INTEGER
@ATTRIBUTE wins INTEGER
@ATTRIBUTE grab INTEGER
@ATTRIBUTE fp INTEGER
@ATTRIBUTE friends INTEGER
@ATTRIBUTE long INTEGER
@ATTRIBUTE last INTEGER
@ATTRIBUTE console INTEGER
@ATTRIBUTE team INTEGER
@ATTRIBUTE 10 INTEGER
@ATTRIBUTE boosters INTEGER
@ATTRIBUTE game INTEGER
@ATTRIBUTE call INTEGER
@ATTRIBUTE pc INTEGER
@ATTRIBUTE rewards INTEGER
@ATTRIBUTE friend INTEGER
@ATTRIBUTE xp INTEGER
@ATTRIBUTE points INTEGER
@ATTRIBUTE play INTEGER
@ATTRIBUTE win INTEGER
@ATTRIBUTE fantasy INTEGER
@ATTRIBUTE fwotd INTEGER
@ATTRIBUTE enigma INTEGER
@ATTRIBUTE monday INTEGER
@ATTRIBUTE starting INTEGER
@ATTRIBUTE players INTEGER
@ATTRIBUTE enjoy INTEGER
@ATTRIBUTE forecast INTEGER
@ATTRIBUTE cosmos INTEGER
@ATTRIBUTE issue INTEGER
@ATTRIBUTE unlock INTEGER
@ATTRIBUTE earning INTEGER
@ATTRIBUTE calls INTEGER
@ATTRIBUTE make INTEGER
@ATTRIBUTE boosted INTEGER
@ATTRIBUTE grind INTEGER
@ATTRIBUTE in-game INTEGER
@ATTRIBUTE love INTEGER
@ATTRIBUTE friday INTEGER
@ATTRIBUTE final INTEGER
@ATTRIBUTE enjoying INTEGER
@ATTRIBUTE played INTEGER
@ATTRIBUTE ready INTEGER
@ATTRIBUTE season INTEGER
@ATTRIBUTE things INTEGER
@ATTRIBUTE chance INTEGER
@ATTRIBUTE like INTEGER
@ATTRIBUTE may INTEGER
@ATTRIBUTE yet INTEGER
@ATTRIBUTE scylla INTEGER
@ATTRIBUTE cutesy INTEGER
@ATTRIBUTE adorable INTEGER
@ATTRIBUTE feeling INTEGER
@ATTRIBUTE roses INTEGER
@ATTRIBUTE event INTEGER
@ATTRIBUTE nebula INTEGER
@ATTRIBUTE issues INTEGER
@ATTRIBUTE tomorrow INTEGER
@ATTRIBUTE class {dont_care, fwotd, bonus_points}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dont_care
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,dont_care
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dont_care
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dont_care
1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fwotd
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dont_care
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dont_care
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dont_care
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dont_care
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dont_care
